EMD_CD,EMD_ENG_NM,EMD_KOR_NM,행정주소,법정동주소,SIDO,비행불가능여부,터미널유무,승용차,버스,혼잡강도,공항,총.인구수,세대.수,기차역.ktx역포함.여부,면적15k이상건물여부,id,long,lat,터미널과의거리,기차역과의거리,공항과의거리
27110110,Sangseo-dong,상서동,대구광역시 중구 성내2동,대구광역시 중구 상서동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2324,128.5900737,35.87046749,0.604963651,0.812636907,6.735401523
27110111,Su-dong,수동,대구광역시 중구 성내2동,대구광역시 중구 수동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2325,128.589247,35.86977042,0.589577665,0.920098058,6.83427417
27110113,Jongno 1(il)-ga,종로1가,대구광역시 중구 성내2동,대구광역시 중구 종로1가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2327,128.5912182,35.87045139,0.554330686,0.748446056,6.640880666
27110114,Jongno 2(i)-ga,종로2가,대구광역시 중구 성내2동,대구광역시 중구 종로2가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2328,128.5919835,35.86842704,0.322073183,0.908259205,6.669418594
27110116,Dongil-dong,동일동,대구광역시 중구 성내2동,대구광역시 중구 동일동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2330,128.5927691,35.86979098,0.441950656,0.741133185,6.541879496
27110118,Jeon-dong,전동,대구광역시 중구 성내2동,대구광역시 중구 전동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2332,128.5928361,35.87072343,0.543008315,0.645315028,6.494689159
27110130,Suchang-dong,수창동,대구광역시 중구 성내2동,대구광역시 중구 수창동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2344,128.5861778,35.87562986,1.277123428,0.899105028,6.870916629
27110131,Taepyeongno 3(sam)-ga,태평로3가,대구광역시 중구 성내2동,대구광역시 중구 태평로3가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2345,128.5858963,35.87663161,1.385296244,0.927779051,6.863330608
27110134,Seoseongno 1(il)-ga,서성로1가,대구광역시 중구 성내2동,대구광역시 중구 서성로1가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2348,128.5871144,35.87259322,0.952829703,0.892270535,6.89829762
27110136,Haseo-dong,하서동,대구광역시 중구 성내2동,대구광역시 중구 하서동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2350,128.5881996,35.87025887,0.694434358,0.949996945,6.900602724
27110137,Namseongno,남성로,대구광역시 중구 성내2동,대구광역시 중구 남성로,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2351,128.589627,35.86846306,0.46584077,1.011421492,6.861117239
27110138,Gyesan-dong 1(il)-ga,계산동1가,대구광역시 중구 성내2동,대구광역시 중구 계산동1가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2352,128.5861189,35.86924608,0.779379399,1.166134636,7.117211134
27110139,Gyesan-dong 2(i)-ga,계산동2가,대구광역시 중구 성내2동,대구광역시 중구 계산동2가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2353,128.5897052,35.86752149,0.403601008,1.09440658,6.898375908
27110140,Dongsan-dong,동산동,대구광역시 중구 성내2동,대구광역시 중구 동산동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2354,128.584907,35.86836619,0.840086775,1.312669037,7.255944458
27110142,Seoseongno 2(i)-ga,서성로2가,대구광역시 중구 성내2동,대구광역시 중구 서성로2가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2356,128.5873259,35.87013382,0.743957315,1.0194358,6.978882082
27110144,Seomunno 1(il)-ga,서문로1가,대구광역시 중구 성내2동,대구광역시 중구 서문로1가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2358,128.5891673,35.87169894,0.764185693,0.781668534,6.759985186
27110145,Seonae-dong,서내동,대구광역시 중구 성내2동,대구광역시 중구 서내동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2359,128.5887486,35.87263985,0.872948656,0.757555854,6.758045057
27110146,Bukseongno 2(i)-ga,북성로2가,대구광역시 중구 성내2동,대구광역시 중구 북성로2가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2360,128.5893407,35.87395736,0.978683137,0.64927646,6.657939029
27110147,Daean-dong,대안동,대구광역시 중구 성내2동,대구광역시 중구 대안동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2361,128.5914798,35.87305835,0.821234032,0.52407793,6.510850399
27110149,Taepyeongno 2(i)-ga,태평로2가,대구광역시 중구 성내2동,대구광역시 중구 태평로2가,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2363,128.5920888,35.87577459,1.107442886,0.365072555,6.357761181
27110152,Hyangchon-dong,향촌동,대구광역시 중구 성내2동,대구광역시 중구 향촌동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2366,128.5936935,35.87322901,0.81547958,0.36773263,6.317475724
27110153,Bungnae-dong,북내동,대구광역시 중구 성내2동,대구광역시 중구 북내동,27,0,0,0.351929424,0.03654485,0.18877551,0,0.035194289,0.05384011,0,0,2367,128.5897352,35.87306964,0.874198862,0.656499417,6.657917068
